Date,Store,Weekly_Sales,Holiday_Flag,KMeans_Anomaly,Hierarchical_Anomaly,IsolationForest_Anomaly,Consensus_Anomaly,Anomaly_Type,Sales_Deviation
2010-02-19,1,1611968.17,0,0,0,0,0,Normal,-1.1532716752707475
2010-02-26,1,1409727.59,0,0,0,0,0,Normal,-1.4873330507793963
2010-03-05,1,1554806.68,0,0,0,0,0,Normal,0.0018588077418490957
2010-03-12,1,1439541.59,0,0,0,0,0,Normal,-0.6760560725033149
2010-03-19,1,1472515.79,0,0,0,0,0,Normal,0.05379956718089154
2010-03-26,1,1404429.92,0,0,0,0,0,Normal,-0.9857593713102595
2010-04-02,1,1594968.28,0,0,0,0,0,Normal,1.413062407425704
2010-04-09,1,1545418.53,0,0,0,0,0,Normal,0.49228218235749943
2010-04-16,1,1466058.28,0,0,0,0,0,Normal,-0.43468772961800306
2010-04-23,1,1391256.12,0,0,0,0,0,Normal,-1.2079018908081514
2010-04-30,1,1425100.71,0,0,0,0,0,Normal,-0.47954499588813054
2010-05-07,1,1603955.12,0,0,0,0,0,Normal,1.4172720140459125
2010-05-14,1,1494251.5,0,0,0,0,0,Normal,0.16625083429733276
2010-05-21,1,1399662.07,0,0,0,0,0,Normal,-0.8875788865733837
2010-05-28,1,1432069.95,0,0,0,0,0,Normal,-0.560217676144879
2010-06-04,1,1615524.71,0,0,0,0,0,Normal,1.3666618298321496
2010-06-11,1,1542561.09,0,0,0,0,0,Normal,0.45246909852280554
2010-06-18,1,1503284.06,0,0,0,0,0,Normal,-0.2621044057644999
2010-06-25,1,1422711.6,0,0,0,0,0,Normal,-1.2233053034999757
2010-07-02,1,1492418.14,0,0,0,0,0,Normal,0.04356750431098374
2010-07-09,1,1546074.18,0,0,0,0,0,Normal,1.0742888509267543
2010-07-16,1,1448938.92,0,0,0,0,0,Normal,-0.5297278938807611
2010-07-23,1,1385065.2,0,0,0,0,0,Normal,-1.2187482273190298
2010-07-30,1,1371986.6,0,0,0,0,0,Normal,-0.8305771713594903
2010-08-06,1,1605491.78,0,0,0,0,0,Normal,1.4242502390632288
2010-08-13,1,1508237.76,0,0,0,0,0,Normal,0.36695305863015565
2010-08-20,1,1513080.49,0,0,0,0,0,Normal,0.13911963364145497
2010-08-27,1,1449142.92,0,0,0,0,0,Normal,-1.0815159827476137
2010-09-03,1,1540163.53,0,0,0,0,0,Normal,0.9782100886344056
2010-09-10,1,1507460.69,1,0,0,0,0,Normal,0.13049236839579983
2010-09-17,1,1430378.67,0,0,0,0,0,Normal,-1.0097626884759947
2010-09-24,1,1351791.03,0,0,0,0,0,Normal,-1.2556996624108547
2010-10-01,1,1453329.5,0,0,0,0,0,Normal,0.27217145448834024
2010-10-08,1,1508239.93,0,0,0,0,0,Normal,1.1138359672280378
2010-10-15,1,1459409.1,0,0,0,0,0,Normal,0.2468100691319758
2010-10-22,1,1345454.0,0,0,0,0,0,Normal,-1.4005624793253342
2010-10-29,1,1384209.22,0,0,0,0,0,Normal,-0.5475908351073653
2010-11-05,1,1551659.28,0,0,0,0,0,Normal,1.2809714282831257
2010-11-12,1,1494479.49,0,0,0,0,0,Normal,0.5284742994606153
2010-11-19,1,1483784.18,0,0,0,0,0,Normal,0.07546235696733779
2010-11-26,1,1955624.11,1,0,0,1,0,Normal,1.4867587478762436
2010-12-03,1,1548033.78,0,0,0,0,0,Normal,-0.32171152203326875
2010-12-10,1,1682614.26,0,0,0,0,0,Normal,0.07218746531621173
2010-12-17,1,1891034.93,0,0,0,0,0,Normal,0.6474499331240092
2010-12-24,1,2387950.2,0,0,0,1,0,Normal,1.385635804773758
2010-12-31,1,1367320.01,1,1,0,0,0,Normal,-1.0849951262430242
2011-01-07,1,1444732.28,0,0,0,0,0,Normal,-0.6970183631142657
2011-01-14,1,1391013.96,0,0,0,0,0,Normal,-0.5191634141211481
2011-01-21,1,1327405.42,0,0,0,0,0,Normal,-1.1261270659314155
2011-01-28,1,1316899.31,0,0,0,0,0,Normal,-0.890982777740175
2011-02-04,1,1606629.58,0,0,0,0,0,Normal,1.455063090017151
2011-02-11,1,1649614.93,1,0,0,0,0,Normal,0.9825622419604996
2011-02-18,1,1686842.78,0,0,0,0,0,Normal,0.7226280550702849
2011-02-25,1,1456800.28,0,0,0,0,0,Normal,-1.4186763914602711
2011-03-04,1,1636263.41,0,0,0,0,0,Normal,0.28139121118832894
2011-03-11,1,1553191.63,0,0,0,0,0,Normal,-0.2986687999222824
2011-03-18,1,1576818.06,0,0,0,0,0,Normal,0.2819244395845809
2011-03-25,1,1541102.38,0,0,0,0,0,Normal,-0.8449565151086039
2011-04-01,1,1495064.75,0,0,0,0,0,Normal,-1.3529453426797369
2011-04-08,1,1614259.35,0,0,0,0,0,Normal,1.1295332298459342
2011-04-15,1,1559889.0,0,0,0,0,0,Normal,0.14821418427280553
2011-04-22,1,1564819.81,0,0,0,0,0,Normal,0.12905620886829683
2011-04-29,1,1455090.69,0,0,0,0,0,Normal,-1.3954748970758475
2011-05-06,1,1629391.28,0,0,0,0,0,Normal,1.0688392216602198
2011-05-13,1,1604775.58,0,0,0,0,0,Normal,0.5355978979383402
2011-05-20,1,1428218.27,0,0,0,0,0,Normal,-0.9880716972497144
2011-05-27,1,1466046.67,0,0,0,0,0,Normal,-0.6616901577237209
2011-06-03,1,1635078.41,0,0,0,0,0,Normal,0.9984394662910496
2011-06-10,1,1588948.32,0,0,0,0,0,Normal,0.6042609622832267
2011-06-17,1,1532114.86,0,0,0,0,0,Normal,-0.3208516046185083
2011-06-24,1,1438830.15,0,0,0,0,0,Normal,-1.3005196888328927
2011-07-01,1,1488538.09,0,0,0,0,0,Normal,-0.36914564226670116
2011-07-08,1,1534849.64,0,0,0,0,0,Normal,0.8035288187011578
2011-07-15,1,1455119.97,0,0,0,0,0,Normal,-0.5710670287869875
2011-07-22,1,1396926.82,0,0,0,0,0,Normal,-1.2393823756387023
2011-07-29,1,1352219.79,0,0,0,0,0,Normal,-1.0463353170541387
2011-08-05,1,1624383.75,0,0,0,0,0,Normal,1.4031382995937793
2011-08-12,1,1525147.09,0,0,0,0,0,Normal,0.4076402481161782
2011-08-19,1,1530761.43,0,0,0,0,0,Normal,0.1994685257476146
2011-08-26,1,1464693.46,0,0,0,0,0,Normal,-1.0852289152762646
2011-09-02,1,1550229.22,0,0,0,0,0,Normal,0.8803382688795642
2011-09-09,1,1540471.24,1,0,0,0,0,Normal,0.48892709827479613
2011-09-16,1,1514259.78,0,0,0,0,0,Normal,-0.08236456891263591
2011-09-23,1,1380020.27,0,0,0,0,0,Normal,-1.4719694130654375
2011-09-30,1,1394561.83,0,0,0,0,0,Normal,-0.7673757690017463
2011-10-07,1,1630989.95,0,0,0,0,0,Normal,1.287723897349144
2011-10-14,1,1493525.93,0,0,0,0,0,Normal,0.16205220981982102
2011-10-21,1,1502562.78,0,0,0,0,0,Normal,-0.029364159605056662
2011-10-28,1,1445249.09,0,0,0,0,0,Normal,-0.9176765550125426
2011-11-04,1,1697229.58,0,0,0,0,0,Normal,1.4611401085380993
2011-11-11,1,1594938.89,0,0,0,0,0,Normal,0.31671201354381384
2011-11-18,1,1539483.7,0,0,0,0,0,Normal,-0.282288220088661
2011-11-25,1,2033320.66,1,0,0,1,0,Normal,1.4330943752972063
2011-12-02,1,1584083.95,0,0,0,0,0,Normal,-0.44871296227333446
2011-12-09,1,1799682.38,0,0,0,0,0,Normal,0.2671036822633835
2011-12-16,1,1881176.67,0,0,0,0,0,Normal,0.30225885780298895
2011-12-23,1,2270188.99,0,0,0,1,0,Normal,1.3488112006266513
2011-12-30,1,1497462.72,1,0,0,0,0,Normal,-1.1460149214646214
2012-01-06,1,1550369.92,0,0,0,0,0,Normal,-0.6994454868983296
2012-01-13,1,1459601.17,0,0,0,0,0,Normal,-0.6088423934075313
